Posture,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
side,-0.02,-1.01,-0.02,-2.38,0.79,1.71,-34.00,-1.00,10.00
side,-0.02,-1.01,-0.01,-3.36,-0.61,0.79,-35.00,-2.00,5.00
side,-0.02,-1.01,-0.03,-1.53,-0.98,1.65,-33.00,-2.00,7.00
side,-0.02,-1.01,-0.00,-6.90,-2.99,-2.01,-35.00,-3.00,8.00
side,-0.03,-1.01,-0.03,4.88,-0.61,-3.11,-34.00,-1.00,7.00
side,-0.03,-1.01,-0.02,-3.91,0.00,-0.31,-33.00,0.00,9.00
side,-0.03,-1.01,-0.02,-1.28,0.12,0.18,-34.00,0.00,6.00
side,-0.03,-1.01,-0.00,-5.74,-0.98,0.00,-33.00,0.00,6.00
side,-0.03,-1.01,-0.01,0.31,-0.12,0.06,-34.00,0.00,8.00
side,-0.03,-1.01,-0.00,-5.31,-0.12,0.18,-34.00,1.00,13.00
side,-0.03,-1.01,0.02,-15.69,-2.26,2.20,-32.00,0.00,8.00
side,-0.02,-1.01,0.06,-2.81,-1.40,0.73,-31.00,0.00,9.00
side,-0.02,-1.01,0.09,0.37,0.49,-0.06,-28.00,0.00,10.00
side,-0.02,-1.01,0.09,-9.70,0.06,-0.55,-31.00,1.00,14.00
side,-0.02,-1.01,0.11,-2.14,-0.31,0.00,-27.00,0.00,12.00
side,-0.02,-1.01,0.11,5.98,0.43,-0.49,-29.00,0.00,13.00
side,-0.02,-1.01,0.10,1.40,0.18,-0.24,-31.00,0.00,13.00
side,-0.02,-1.00,0.10,-2.20,0.31,0.06,-30.00,1.00,14.00
side,-0.02,-1.01,0.10,1.10,0.12,-0.18,-30.00,0.00,12.00
side,-0.02,-1.01,0.10,0.67,0.00,-0.31,-31.00,0.00,15.00
side,-0.02,-1.01,0.09,-0.06,0.00,-0.18,-30.00,0.00,13.00
side,-0.02,-1.01,0.10,-5.25,-1.34,0.31,-29.00,-1.00,15.00
side,-0.01,-1.00,0.16,-4.64,0.67,1.77,-27.00,1.00,22.00
side,-0.01,-1.00,0.17,-10.74,-1.34,0.92,-26.00,0.00,21.00
side,-0.01,-1.00,0.17,17.03,2.26,-2.93,-26.00,0.00,14.00
side,-0.02,-1.01,0.08,13.37,-2.44,-1.34,-30.00,0.00,15.00
side,-0.02,-1.01,0.07,5.43,0.79,-0.55,-31.00,-1.00,11.00
side,-0.02,-1.01,0.08,-10.01,0.49,0.92,-29.00,0.00,12.00
side,-0.01,-1.00,0.13,-21.18,-0.31,3.11,-29.00,1.00,17.00
side,-0.00,-1.01,0.14,-6.23,-0.31,1.89,-27.00,-1.00,17.00
side,0.01,-0.98,0.21,13.98,0.85,-5.13,-26.00,-1.00,20.00
side,-0.01,-1.00,0.17,16.78,6.35,-2.87,-29.00,-3.00,17.00
side,-0.01,-1.00,0.12,-0.31,0.37,-0.18,-29.00,0.00,12.00
side,-0.01,-1.01,0.11,1.65,0.31,-0.55,-30.00,0.00,13.00
side,-0.02,-1.01,0.10,-1.10,0.06,-0.06,-30.00,-2.00,16.00
side,-0.02,-1.01,0.10,-2.14,0.06,0.06,-30.00,1.00,11.00
side,-0.02,-1.01,0.10,0.12,0.12,-0.37,-30.00,0.00,8.00
side,-0.02,-1.01,0.10,0.12,0.06,-0.12,-29.00,0.00,11.00
side,-0.02,-1.01,0.09,1.28,0.12,-0.24,-29.00,-1.00,15.00
side,-0.02,-1.01,0.09,-4.09,0.00,0.00,-28.00,-1.00,14.00
side,-0.02,-1.00,0.12,-0.12,0.06,-0.24,-29.00,1.00,11.00
side,-0.02,-1.00,0.12,0.24,0.18,-0.12,-26.00,0.00,17.00
side,-0.02,-1.01,0.11,2.01,0.06,-0.18,-28.00,-1.00,15.00
side,-0.02,-1.00,0.11,-1.10,0.00,-0.12,-29.00,0.00,13.00
side,-0.02,-1.01,0.11,0.31,0.49,-0.12,-29.00,2.00,16.00
