Posture,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
side,0.01,0.96,-0.04,0.55,-0.06,0.00,60.00,-4.00,-71.00
side,0.01,0.96,-0.05,0.12,0.00,-0.24,60.00,-1.00,-70.00
side,0.01,0.96,-0.05,0.43,0.18,-0.18,61.00,-1.00,-69.00
side,0.01,0.96,-0.04,-3.30,5.00,-0.55,58.00,-4.00,-72.00
side,0.02,0.96,-0.08,-0.37,5.80,-0.06,58.00,0.00,-78.00
side,0.01,0.96,-0.06,-0.79,-3.60,-0.79,61.00,-2.00,-74.00
side,0.02,0.96,-0.04,3.17,-2.14,0.00,64.00,-1.00,-72.00
side,0.02,0.96,-0.05,-0.49,0.12,-0.31,61.00,-3.00,-68.00
side,0.02,0.96,-0.04,-1.28,-4.64,0.43,63.00,-2.00,-72.00
side,0.02,0.96,-0.07,4.21,-3.91,0.18,62.00,-1.00,-70.00
side,0.01,0.96,-0.02,-0.31,-1.04,0.18,59.00,-5.00,-72.00
side,0.02,0.96,-0.04,-1.83,8.73,-0.18,60.00,-3.00,-65.00
side,0.01,0.96,-0.06,-0.67,1.77,-0.98,60.00,-4.00,-70.00
side,0.02,0.96,-0.04,0.67,-0.43,-0.12,61.00,-3.00,-67.00
side,0.02,0.96,-0.05,-2.01,1.16,-0.31,60.00,-4.00,-70.00
side,0.02,0.96,-0.05,3.42,-1.10,0.43,60.00,-4.00,-72.00
side,0.01,0.96,-0.02,6.04,-7.26,0.85,59.00,-3.00,-69.00
side,0.01,0.96,-0.00,-4.03,-3.60,-0.37,59.00,-4.00,-66.00
side,0.01,0.96,-0.02,-3.54,3.97,-1.16,59.00,-3.00,-71.00
side,0.02,0.96,-0.05,-2.75,1.22,0.18,61.00,-2.00,-70.00
side,0.02,0.96,-0.05,-1.46,0.49,-0.24,61.00,-3.00,-74.00
side,0.02,0.96,-0.05,-0.12,1.95,-0.61,61.00,-2.00,-66.00
side,0.01,0.96,-0.04,0.06,5.07,0.31,59.00,-2.00,-72.00
