Posture,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
side,-0.03,0.97,0.09,-1.46,0.43,-0.12,59.00,-12.00,17.00
side,-0.02,0.97,0.08,-1.89,0.85,-0.06,57.00,-14.00,16.00
side,-0.02,0.97,0.08,-1.16,0.12,-0.18,58.00,-12.00,16.00
side,-0.02,0.97,0.08,0.49,-1.10,-0.18,59.00,-10.00,14.00
side,-0.02,0.97,0.09,-0.31,0.24,0.12,59.00,-12.00,18.00
side,-0.02,0.98,0.07,3.23,0.18,-0.24,59.00,-12.00,15.00
side,-0.02,0.97,0.08,-8.48,-0.24,0.00,59.00,-11.00,14.00
side,-0.02,0.98,0.05,-2.81,1.10,-0.06,61.00,-11.00,13.00
side,-0.03,0.97,0.04,-0.67,1.89,-0.55,62.00,-12.00,15.00
side,-0.02,0.98,0.03,-1.46,0.24,-0.12,61.00,-13.00,12.00
side,-0.02,0.98,0.03,-0.49,0.18,-0.18,59.00,-12.00,17.00
side,-0.02,0.98,0.04,2.26,-0.18,-0.18,60.00,-11.00,15.00
side,-0.02,0.98,0.05,1.04,-0.06,-0.18,62.00,-12.00,11.00
side,-0.02,0.98,0.05,0.18,0.12,-0.24,61.00,-13.00,14.00
side,-0.02,0.98,0.05,0.61,-0.12,-0.06,61.00,-13.00,15.00
side,-0.02,0.98,0.05,-1.59,-1.46,0.12,63.00,-11.00,10.00
side,-0.02,0.98,0.05,2.56,0.12,-0.12,62.00,-12.00,13.00
side,-0.02,0.98,0.06,4.27,1.10,-0.12,62.00,-12.00,13.00
side,-0.02,0.98,0.07,2.62,0.37,-0.12,60.00,-13.00,17.00
side,-0.02,0.97,0.08,-0.67,-0.18,-0.31,59.00,-12.00,14.00
side,-0.02,0.97,0.07,-1.46,0.12,-0.06,59.00,-13.00,18.00
side,-0.02,0.98,0.07,-0.61,0.06,-0.06,59.00,-11.00,20.00
side,-0.02,0.98,0.06,-2.26,-0.49,0.06,62.00,-13.00,15.00
side,-0.02,0.98,0.06,1.34,0.12,-0.24,62.00,-12.00,14.00
side,-0.02,0.98,0.06,1.04,0.24,-0.18,60.00,-11.00,19.00
side,-0.02,0.98,0.06,0.31,0.18,-0.12,59.00,-11.00,13.00
side,-0.02,0.98,0.06,-0.18,0.00,-0.18,60.00,-13.00,14.00
side,-0.02,0.98,0.07,0.18,0.18,-0.12,60.00,-14.00,18.00
side,-0.02,0.97,0.07,-0.31,0.06,-0.06,59.00,-13.00,17.00
side,-0.02,0.98,0.07,-1.16,0.18,-0.18,61.00,-12.00,15.00
side,-0.02,0.98,0.07,1.04,0.00,-0.24,61.00,-10.00,18.00
side,-0.02,0.98,0.07,0.67,0.06,-0.18,59.00,-13.00,15.00
side,-0.02,0.97,0.07,0.79,0.12,-0.24,59.00,-14.00,18.00
side,-0.02,0.98,0.07,1.65,0.06,-0.31,60.00,-13.00,18.00
side,-0.02,0.97,0.08,1.89,0.12,-0.18,60.00,-15.00,20.00
side,-0.02,0.97,0.08,0.00,0.37,-0.18,60.00,-15.00,15.00
side,-0.02,0.97,0.08,-1.16,0.06,-0.06,60.00,-12.00,16.00
side,-0.02,0.98,0.08,-0.67,3.11,0.31,62.00,-10.00,16.00
side,-0.02,0.98,0.08,0.73,0.24,-0.18,60.00,-12.00,19.00
side,-0.02,0.97,0.08,-1.46,0.18,-0.06,63.00,-12.00,12.00
side,-0.02,0.97,0.08,0.55,0.06,-0.06,61.00,-12.00,17.00
side,-0.02,0.97,0.08,0.18,0.12,-0.24,61.00,-13.00,19.00
side,-0.02,0.98,0.07,1.04,0.06,-0.18,59.00,-11.00,13.00
side,-0.02,0.97,0.08,0.06,0.06,-0.18,62.00,-13.00,18.00
side,-0.02,0.97,0.08,-0.43,0.18,-0.18,61.00,-14.00,13.00
side,-0.02,0.98,0.07,0.24,0.12,-0.12,62.00,-13.00,20.00
side,-0.02,0.98,0.07,-0.85,0.12,-0.12,62.00,-13.00,17.00
side,-0.02,0.98,0.07,-0.31,0.06,-0.12,61.00,-14.00,14.00
side,-0.02,0.98,0.07,-0.61,0.06,-0.12,60.00,-12.00,15.00
side,-0.02,0.98,0.07,0.55,0.06,-0.18,62.00,-11.00,15.00
side,-0.02,0.98,0.07,-0.37,0.12,-0.12,60.00,-12.00,13.00
side,-0.02,0.97,0.07,-0.24,0.18,-0.18,61.00,-12.00,14.00
side,-0.02,0.97,0.07,0.00,0.12,-0.12,61.00,-13.00,14.00
side,-0.02,0.98,0.07,0.31,0.18,-0.12,59.00,-12.00,13.00
side,-0.02,0.98,0.07,0.67,0.12,-0.18,62.00,-13.00,19.00
side,-0.02,0.98,0.07,0.73,0.12,-0.18,61.00,-13.00,14.00
side,-0.02,0.98,0.07,0.00,0.12,-0.12,62.00,-12.00,18.00
side,-0.02,0.97,0.08,1.65,0.06,-0.18,60.00,-12.00,16.00
side,-0.02,0.98,0.08,0.24,-0.24,-0.18,62.00,-12.00,18.00
side,-0.02,0.97,0.08,0.55,-0.12,-0.18,61.00,-14.00,12.00
side,-0.02,0.97,0.08,-0.73,0.12,-0.18,60.00,-12.00,15.00
side,-0.02,0.98,0.08,-0.24,0.12,-0.12,60.00,-12.00,15.00
side,-0.02,0.97,0.08,3.60,0.12,-0.24,58.00,-14.00,13.00
side,-0.02,0.97,0.08,-0.92,0.12,-0.12,60.00,-11.00,17.00
side,-0.02,0.98,0.08,-0.12,-0.06,-0.12,60.00,-12.00,16.00
side,-0.02,0.97,0.09,-0.55,-0.12,-0.06,60.00,-10.00,20.00
side,-0.02,0.97,0.08,-1.16,0.37,-0.06,60.00,-12.00,14.00
side,-0.02,0.97,0.08,-2.20,0.79,-0.12,60.00,-11.00,18.00
side,-0.02,0.97,0.08,0.24,0.12,-0.12,60.00,-13.00,14.00
side,-0.02,0.97,0.08,2.26,0.24,-0.18,58.00,-12.00,17.00
side,-0.02,0.97,0.08,0.67,0.18,-0.12,59.00,-15.00,15.00
side,-0.02,0.97,0.09,0.92,0.12,-0.12,60.00,-12.00,13.00
side,-0.02,0.97,0.09,0.12,0.00,-0.12,60.00,-13.00,15.00
side,-0.02,0.97,0.08,1.34,0.79,0.00,59.00,-13.00,13.00
side,-0.02,0.97,0.10,1.77,-0.24,-0.18,62.00,-13.00,21.00
side,-0.02,0.97,0.10,-3.60,0.85,-0.18,60.00,-12.00,18.00
side,-0.02,0.97,0.10,0.73,0.18,-0.18,63.00,-13.00,17.00
side,-0.02,0.97,0.09,-1.53,0.24,-0.18,59.00,-16.00,11.00
side,-0.02,0.97,0.09,-1.16,0.24,-0.18,60.00,-11.00,17.00
side,-0.02,0.97,0.09,-0.49,0.18,-0.12,62.00,-13.00,17.00
side,-0.02,0.97,0.09,0.55,-0.06,-0.12,60.00,-11.00,16.00
side,-0.02,0.97,0.09,-1.04,0.18,-0.12,60.00,-12.00,12.00
side,-0.02,0.97,0.09,-0.73,0.18,-0.12,62.00,-12.00,14.00
side,-0.02,0.97,0.09,-0.37,0.12,-0.12,62.00,-15.00,18.00
side,-0.02,0.98,0.09,0.85,0.12,-0.12,58.00,-12.00,14.00
side,-0.02,0.97,0.09,0.73,0.18,-0.12,61.00,-14.00,18.00
side,-0.02,0.97,0.08,-1.95,0.43,-0.06,60.00,-13.00,19.00
side,-0.02,0.97,0.08,0.61,0.24,-0.18,60.00,-13.00,17.00
side,-0.02,0.97,0.08,0.12,0.31,-0.18,60.00,-11.00,14.00
side,-0.02,0.97,0.08,-0.49,0.37,-0.12,59.00,-14.00,16.00
side,-0.02,0.97,0.08,-1.16,0.18,-0.12,58.00,-14.00,19.00
side,-0.02,0.97,0.08,-0.85,0.18,-0.18,60.00,-13.00,18.00
side,-0.02,0.97,0.08,-0.24,0.18,-0.12,58.00,-13.00,16.00
side,-0.02,0.97,0.08,0.73,0.12,-0.12,61.00,-12.00,16.00
side,-0.02,0.97,0.08,-1.22,0.12,-0.12,60.00,-11.00,14.00
side,-0.02,0.98,0.08,0.67,0.06,-0.06,61.00,-13.00,16.00
side,-0.02,0.97,0.08,-0.37,0.12,-0.18,60.00,-12.00,15.00
side,-0.02,0.97,0.08,0.00,0.12,-0.12,60.00,-16.00,19.00
side,-0.02,0.98,0.08,0.24,0.12,-0.18,60.00,-10.00,14.00
side,-0.02,0.97,0.08,-0.61,0.18,-0.12,62.00,-13.00,14.00
side,-0.02,0.97,0.08,-1.46,0.18,-0.06,62.00,-13.00,16.00
side,-0.02,0.97,0.07,-0.55,0.31,-0.18,59.00,-16.00,12.00
side,-0.02,0.98,0.07,-0.24,0.18,-0.18,59.00,-11.00,16.00
side,-0.02,0.98,0.07,0.24,0.18,-0.12,62.00,-12.00,18.00
side,-0.02,0.97,0.08,0.06,0.24,-0.12,60.00,-12.00,19.00
side,-0.02,0.98,0.07,-0.31,0.24,-0.18,60.00,-11.00,17.00
side,-0.02,0.98,0.08,-0.31,0.12,-0.18,62.00,-13.00,18.00
side,-0.02,0.97,0.08,0.24,0.12,-0.18,60.00,-12.00,16.00
side,-0.02,0.98,0.07,0.06,0.18,-0.12,62.00,-17.00,16.00
side,-0.02,0.97,0.07,0.43,0.12,-0.12,60.00,-15.00,20.00
side,-0.02,0.97,0.08,0.49,0.12,-0.18,60.00,-14.00,17.00
side,-0.02,0.97,0.07,0.00,0.12,-0.12,60.00,-15.00,16.00
side,-0.02,0.97,0.08,0.37,0.18,-0.18,57.00,-14.00,17.00
side,-0.02,0.97,0.08,1.10,0.12,-0.24,61.00,-13.00,19.00
side,-0.02,0.97,0.08,0.18,0.18,-0.12,62.00,-13.00,15.00
side,-0.02,0.98,0.08,-0.24,0.12,-0.12,60.00,-13.00,16.00
side,-0.02,0.97,0.08,0.00,0.12,-0.24,61.00,-13.00,13.00
side,-0.02,0.97,0.08,-0.55,0.12,-0.12,61.00,-13.00,15.00
side,-0.02,0.97,0.08,-0.37,0.18,-0.18,59.00,-12.00,14.00
side,-0.02,0.97,0.08,0.92,0.12,-0.12,60.00,-12.00,13.00
side,-0.02,0.97,0.08,-1.28,0.18,-0.12,61.00,-12.00,20.00
side,-0.02,0.97,0.08,0.00,0.12,-0.12,61.00,-13.00,18.00
side,-0.02,0.97,0.08,-1.53,0.31,-0.12,61.00,-13.00,14.00
side,-0.02,0.97,0.08,0.00,0.24,-0.18,60.00,-13.00,8.00
side,-0.02,0.98,0.07,-0.79,0.24,-0.12,60.00,-11.00,14.00
side,-0.02,0.98,0.07,2.08,0.12,-0.12,60.00,-12.00,14.00
side,-0.02,0.98,0.08,0.06,0.18,-0.18,62.00,-15.00,17.00
side,-0.02,0.98,0.07,-0.55,0.12,-0.06,63.00,-14.00,13.00
side,-0.02,0.98,0.08,1.65,0.06,-0.18,61.00,-13.00,13.00
side,-0.02,0.97,0.08,1.46,0.24,-0.12,62.00,-15.00,11.00
side,-0.02,0.97,0.08,-0.18,0.18,-0.12,60.00,-13.00,13.00
side,-0.02,0.97,0.08,0.18,0.12,-0.18,61.00,-14.00,16.00
side,-0.02,0.98,0.08,-0.43,0.06,-0.12,62.00,-13.00,16.00
side,-0.02,0.97,0.08,-1.10,0.06,-0.12,61.00,-14.00,18.00
side,-0.02,0.97,0.08,-0.49,0.18,-0.18,60.00,-11.00,18.00
side,-0.02,0.98,0.08,0.12,0.18,-0.18,60.00,-14.00,15.00
side,-0.02,0.97,0.08,-0.31,0.18,-0.18,59.00,-12.00,18.00
side,-0.02,0.98,0.08,-0.73,0.18,-0.18,61.00,-15.00,14.00
side,-0.02,0.97,0.07,-1.28,0.18,-0.12,61.00,-13.00,12.00
side,-0.02,0.98,0.07,-0.49,0.12,-0.24,60.00,-15.00,12.00
side,-0.02,0.97,0.07,-0.67,0.43,-0.18,60.00,-12.00,15.00
side,-0.02,0.98,0.07,-0.73,0.24,-0.12,60.00,-13.00,14.00
side,-0.02,0.98,0.07,0.31,0.12,-0.18,59.00,-12.00,16.00
side,-0.02,0.98,0.07,-0.55,0.18,-0.12,60.00,-12.00,16.00
side,-0.02,0.98,0.07,0.79,0.18,-0.18,59.00,-12.00,16.00
side,-0.02,0.98,0.08,0.24,0.12,-0.12,59.00,-12.00,16.00
side,-0.02,0.97,0.08,-0.12,0.18,-0.18,61.00,-12.00,16.00
side,-0.02,0.98,0.07,-0.31,0.18,-0.12,59.00,-13.00,14.00
side,-0.02,0.97,0.09,-3.91,0.18,-0.12,60.00,-14.00,18.00
side,-0.02,0.97,0.08,1.22,0.12,-0.24,62.00,-15.00,18.00
side,-0.02,0.97,0.08,3.11,0.12,-0.18,60.00,-15.00,14.00
side,-0.02,0.97,0.09,3.72,0.06,-0.18,61.00,-16.00,16.00
side,-0.02,0.97,0.09,-0.24,0.18,-0.06,61.00,-15.00,17.00
side,-0.02,0.97,0.08,-1.22,0.18,-0.12,62.00,-13.00,16.00
side,-0.02,0.98,0.08,-0.12,0.18,-0.12,60.00,-13.00,12.00
side,-0.02,0.97,0.08,0.43,0.12,-0.12,61.00,-13.00,15.00
side,-0.02,0.97,0.08,0.61,0.18,-0.18,59.00,-13.00,16.00
side,-0.02,0.97,0.08,-0.18,0.12,-0.12,59.00,-15.00,16.00
side,-0.02,0.98,0.08,0.12,0.12,-0.06,59.00,-13.00,18.00
side,-0.02,0.97,0.08,0.37,0.31,-0.06,59.00,-14.00,16.00
side,-0.02,0.97,0.08,0.18,0.18,-0.12,59.00,-13.00,11.00
side,-0.02,0.97,0.08,0.18,0.06,-0.18,57.00,-15.00,19.00
side,-0.02,0.98,0.08,-1.34,0.12,-0.12,61.00,-15.00,18.00
side,-0.02,0.97,0.08,1.34,0.12,-0.18,60.00,-15.00,12.00
side,-0.02,0.97,0.09,1.04,0.18,-0.18,60.00,-15.00,10.00
side,-0.02,0.97,0.09,-1.46,0.18,-0.18,59.00,-13.00,16.00
side,-0.02,0.97,0.09,0.43,0.18,-0.12,60.00,-15.00,11.00
side,-0.02,0.97,0.09,-0.12,0.12,-0.12,59.00,-13.00,16.00
side,-0.02,0.97,0.09,-0.49,0.18,-0.06,60.00,-16.00,14.00
side,-0.02,0.97,0.09,-1.10,0.18,-0.24,59.00,-13.00,13.00
side,-0.02,0.97,0.08,-1.89,0.37,-0.12,60.00,-14.00,14.00
side,-0.02,0.97,0.08,-1.22,0.18,-0.18,60.00,-16.00,16.00
side,-0.02,0.97,0.08,0.12,0.18,-0.12,60.00,-13.00,11.00
side,-0.02,0.98,0.08,0.06,0.18,-0.12,59.00,-14.00,18.00
side,-0.02,0.97,0.08,0.37,0.12,-0.18,61.00,-13.00,17.00
side,-0.02,0.98,0.07,0.12,0.18,-0.24,60.00,-15.00,18.00
side,-0.02,0.97,0.08,0.12,0.12,-0.12,62.00,-15.00,19.00
side,-0.02,0.97,0.07,0.49,0.18,-0.18,60.00,-14.00,14.00
side,-0.02,0.98,0.07,0.18,0.43,-0.18,62.00,-14.00,14.00
side,-0.02,0.97,0.07,-0.12,0.12,-0.12,61.00,-16.00,17.00
side,-0.02,0.97,0.08,0.18,0.18,-0.18,59.00,-13.00,16.00
side,-0.02,0.97,0.08,-0.12,0.12,-0.18,58.00,-14.00,13.00
side,-0.02,0.97,0.08,0.79,0.18,-0.12,60.00,-15.00,9.00
side,-0.02,0.97,0.09,-0.43,0.37,-0.12,58.00,-15.00,17.00
side,-0.02,0.98,0.09,-0.61,0.18,-0.18,61.00,-13.00,16.00
side,-0.02,0.97,0.09,-0.92,0.06,-0.12,60.00,-12.00,16.00
side,-0.02,0.97,0.09,1.22,-0.31,-0.18,59.00,-14.00,16.00
side,-0.02,0.97,0.09,2.50,0.18,-0.18,61.00,-15.00,16.00
side,-0.03,0.97,0.09,-0.55,0.18,-0.18,59.00,-15.00,16.00
side,-0.02,0.97,0.10,1.10,0.24,-0.12,61.00,-13.00,16.00
side,-0.02,0.97,0.09,-0.24,0.18,-0.18,58.00,-15.00,18.00
side,-0.02,0.97,0.09,-0.24,0.12,-0.06,57.00,-14.00,17.00
side,-0.02,0.98,0.08,-5.92,0.79,0.00,59.00,-15.00,20.00
side,-0.02,0.97,0.09,1.89,0.43,-0.18,57.00,-14.00,14.00
side,-0.02,0.97,0.10,5.86,0.79,-0.06,57.00,-12.00,20.00
side,-0.02,0.97,0.10,1.83,-0.06,-0.24,60.00,-14.00,16.00
side,-0.02,0.97,0.11,-1.71,0.18,0.00,58.00,-15.00,21.00
side,-0.02,0.97,0.11,-1.95,0.12,0.00,59.00,-16.00,18.00
side,-0.02,0.97,0.11,0.98,0.18,-0.18,58.00,-15.00,15.00
side,-0.03,0.98,0.08,1.16,0.98,-0.12,59.00,-15.00,14.00
side,-0.03,0.97,0.10,-3.23,0.98,0.00,61.00,-15.00,15.00
side,-0.02,0.97,0.09,5.98,-0.18,-0.24,60.00,-15.00,16.00
side,-0.03,0.97,0.09,3.54,1.16,-0.12,60.00,-14.00,15.00
side,-0.02,0.97,0.10,-1.71,0.37,-0.12,59.00,-15.00,20.00
side,-0.02,0.98,0.08,0.24,0.24,-0.18,61.00,-16.00,18.00
side,-0.02,0.97,0.09,-1.10,0.31,-0.12,61.00,-16.00,17.00
side,-0.02,0.98,0.08,-0.98,0.55,-0.12,58.00,-15.00,15.00
side,-0.02,0.97,0.08,0.37,0.24,-0.12,58.00,-15.00,15.00
side,-0.02,0.98,0.08,7.45,-0.12,-0.37,60.00,-14.00,14.00
side,-0.02,0.97,0.09,-0.43,-0.37,-0.06,58.00,-13.00,14.00
side,-0.02,0.97,0.09,3.85,0.06,-0.37,59.00,-16.00,13.00
side,-0.02,0.97,0.09,-6.41,1.34,0.00,60.00,-15.00,16.00
side,0.00,0.97,0.11,14.47,-4.27,-1.10,60.00,-13.00,17.00
side,-0.03,0.97,0.08,3.23,-0.31,-0.61,62.00,-13.00,15.00
side,-0.03,0.97,0.10,13.37,-0.85,-0.43,59.00,-13.00,13.00
